Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013
Decision Tree,0.7377049180327869,0.6764705882352942,0.8214285714285714,0.7419354838709677,0.7440476190476191
Random Forest,0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9577922077922079
XGBoost,0.8688524590163934,0.7941176470588235,0.9642857142857143,0.8709677419354839,0.9307359307359307
